site_name,site_abbreviation,building_name,building_abbreviation,building_number,address,floors,gross_square_feet,occupied_since,building_image_urls
Main Campus,UTM,ALMETRIS DUREN RESIDENCE HALL,ADH,0347,"2624 WHITIS AVE, AUSTIN, TX 78705",9,176878.0,2007,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ADH/100474543_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ADH/100474667_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ADH/100474542_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ADH/100474544_400.jpg
Main Campus,UTM,ATHLETIC FIELDS PAVILION REHAB),AF1,0438,"2513 RED RIVER ST, AUSTIN, TX 78712",1,420.0,2012,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AF1/100536840_400.jpg
Main Campus,UTM,ATHLETIC FIELDS PAVILION EASTSIDE),AF2,0439,"2334 N IH 35, AUSTIN, TX 78712",1,3200.0,2012,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AF2/100536571_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AF2/100536849_400.jpg
Main Campus,UTM,ATHLETIC FIELDS PAVILION,AFP,0423,"2336 N IH 35, AUSTIN, TX 78712",1,4550.0,1995,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AFP/100474888_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AFP/100474889_400.jpg
Main Campus,UTM,ANNA HISS GYMNASIUM,AHG,0657,"2501 WICHITA ST, AUSTIN, TX 78712",4,63470.0,1930,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AHG/100474606_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AHG/100474612_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AHG/100474594_400.jpg
Main Campus,UTM,ARNO NOWOTNY BUILDING,ANB,0722,"709 E MARTIN LUTHER KING BLVD, AUSTIN, TX 78712",3,8004.0,1859,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ANB/100473824_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ANB/100473822_400.jpg
Main Campus,UTM,ANDREWS DORMITORY,AND,0009,"2401 WHITIS AVE, AUSTIN, TX 78705",5,41221.0,1936,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AND/100474551_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AND/100474586_400.jpg
Main Campus,UTM,ANIMAL RESOURCES CENTER,ARC,0135,"2701 SPEEDWAY, AUSTIN, TX 78712",6,110235.0,1977,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ARC/100474506_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ARC/100474509_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ARC/100474549_400.jpg
Main Campus,UTM,ART BUILDING AND MUSEUM,ART,0049,"2301 SAN JACINTO BLVD, AUSTIN, TX 78712",5,158853.0,1962,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ART/100474939_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ART/100474956_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ART/100474923_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ART/100474924_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ART/100474902_400.jpg
Main Campus,UTM,AEROSPACE ENGINEERING BUILDING,ASE,0983,"2617 WICHITA ST, AUSTIN, TX 78712",7,86797.0,2002,nan
Main Campus,UTM,AT&T EXECUTIVE EDUC & CONF CENTER,ATT,0027,"1900 UNIVERSITY AVE, AUSTIN, TX 78705",8,344798.0,2008,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ATT/100473538_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ATT/100473537_400.jpg
Main Campus,UTM,BATTS HALL,BAT,0073,"158 W 21ST ST, AUSTIN, TX 78712",5,39143.0,1951,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BAT/100473532_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BAT/100473857_400.jpg
Main Campus,UTM,L. THEO BELLMONT HALL,BEL,0418,"2109 SAN JACINTO BLVD, AUSTIN, TX 78712",11,404131.0,1972,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BEL/100474736_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BEL/100474735_400.jpg
Main Campus,UTM,BENEDICT HALL,BEN,0081,"150 W 21ST ST, AUSTIN, TX 78712",5,38580.0,1951,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BEN/100473535_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BEN/100473484_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BEN/100473481_400.jpg
Main Campus,UTM,BIOLOGICAL SCIENCES GREENHOUSES,BGH,0100,"103A W 24TH ST, AUSTIN, TX 78712",1,866.0,1975,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BGH/100473514_400.jpg
Main Campus,UTM,BRACKENRIDGE HALL DORM,BHD,0105,"207 E 21ST ST, AUSTIN, TX 78705",6,35776.0,1933,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BHD/100474743_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BHD/100474745_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BHD/100474746_400.jpg
Main Campus,UTM,BIOLOGICAL LABORATORIES,BIO,0089,"205 W 24TH ST, AUSTIN, TX 78712",7,69905.0,1924,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BIO/100473509_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BIO/100474529_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BIO/100473507_400.jpg
Main Campus,UTM,BLANTON DORMITORY,BLD,0098,"2500 UNIVERSITY AVE, AUSTIN, TX 78705",7,69754.0,1955,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BLD/100474584_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BLD/100474587_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BLD/100474583_400.jpg
